,date,btc_price,eth_price,ltc_price,name,total,price,open,high,low,vol,change
386,8/30/16,574.11,10.99,3.77,7327.0,4896722.0,,,,,,
387,8/31/16,577.59,11.24,3.81,,,,,,,,
388,9/1/16,575.55,11.67,3.8,7328.0,4904050.0,,,,,,
389,9/2/16,572.41,11.96,3.84,7329.0,4911379.0,,,,,,
390,9/3/16,575.55,12.11,3.83,,,,,,,,
391,9/4/16,598.59,11.75,3.89,7330.0,4918709.0,,,,,,
392,9/5/16,608.99,11.68,4.02,7339.0,4926048.0,,,,,,
393,9/6/16,606.51,11.73,3.98,7348.0,4933396.0,,,,,,
394,9/7/16,610.57,11.69,3.99,7352.0,4940748.0,,,,,,
395,9/8/16,614.63,11.55,3.97,7357.0,4948105.0,,,,,,
396,9/9/16,626.35,11.41,3.98,7360.0,4955465.0,,,,,,
397,9/10/16,622.93,11.66,3.97,7364.0,4962829.0,,,,,,
398,9/11/16,623.42,12.21,3.97,7365.0,4970194.0,,,,,,
399,9/12/16,607.0,11.64,3.87,7378.0,4977572.0,,,,,,
400,9/13/16,608.02,11.89,3.83,7379.0,4984951.0,,,,,,
401,9/14/16,608.84,11.9,3.82,7382.0,4992333.0,,,,,,
402,9/15/16,610.59,11.94,3.83,7398.0,4999731.0,,,,,,
403,9/16/16,607.25,11.96,3.82,7401.0,5007132.0,,,,,,
404,9/17/16,607.22,12.56,3.8,7402.0,5014534.0,,,,,,
405,9/18/16,606.28,12.69,3.81,7403.0,5021937.0,,,,,,
406,9/19/16,609.87,12.44,4.04,7406.0,5029343.0,,,,,,
407,9/20/16,609.25,13.21,3.83,7420.0,5036763.0,,,,,,
408,9/21/16,603.59,14.43,3.87,7424.0,5044187.0,,,,,,
409,9/22/16,597.28,13.66,3.86,7425.0,5051612.0,,,,,,
410,9/23/16,596.2,13.21,3.77,7428.0,5059040.0,,,,,,
411,9/24/16,602.96,13.32,3.81,7429.0,5066469.0,,,,,,
412,9/25/16,602.75,12.85,3.8,7432.0,5073901.0,,,,,,
413,9/26/16,600.81,13.17,3.8,7434.0,5081335.0,,,,,,
414,9/27/16,608.02,12.86,3.86,7435.0,5088770.0,,,,,,
415,9/28/16,606.24,13.11,3.85,7436.0,5096206.0,,,,,,
416,9/29/16,605.02,13.28,3.84,7440.0,5103646.0,,,,,,
417,9/30/16,605.72,13.08,3.84,7442.0,5111088.0,,,,,,
418,10/1/16,609.93,13.2,3.85,7443.0,5118531.0,,,,,,
419,10/2/16,613.95,13.18,3.85,7445.0,5125976.0,,,,,,
420,10/3/16,610.97,13.2,3.85,7450.0,5133426.0,,,,,,
421,10/4/16,612.05,13.45,3.84,7461.0,5140887.0,,,,,,
422,10/5/16,610.22,13.28,3.83,7462.0,5148349.0,,,,,,
423,10/6/16,612.47,13.03,3.85,7465.0,5155814.0,,,,,,
424,10/7/16,612.61,12.85,3.84,7468.0,5163282.0,,,,,,
425,10/8/16,617.34,12.67,3.86,7472.0,5170754.0,,,,,,
426,10/9/16,619.17,12.22,3.84,7479.0,5178233.0,,,,,,
427,10/10/16,616.82,12.06,3.82,7482.0,5185715.0,,,,,,
428,10/11/16,619.24,11.76,3.8,7485.0,5193200.0,,,,,,
429,10/12/16,640.87,11.78,3.82,,,,,,,,
430,10/13/16,636.03,11.91,3.75,7486.0,5200686.0,,,,,,
431,10/14/16,637.01,11.99,3.91,7487.0,5208173.0,,,,,,
432,10/15/16,640.31,11.94,3.9,7490.0,5215663.0,,,,,,
433,10/16/16,639.08,11.98,3.88,,,,,,,,
434,10/17/16,641.82,11.96,3.89,7492.0,5223155.0,,,,,,
435,10/18/16,639.41,12.0,3.95,7493.0,5230648.0,,,,,,
436,10/19/16,638.13,12.59,3.85,,,,,,,,
437,10/20/16,630.66,12.05,3.81,7495.0,5238143.0,,,,,,
438,10/21/16,630.83,12.13,3.79,7496.0,5245639.0,,,,,,
439,10/22/16,633.14,12.18,3.81,,,,,,,,
440,10/23/16,657.62,12.13,3.89,7497.0,5253136.0,,,,,,
441,10/24/16,657.16,12.04,3.92,7501.0,5260637.0,,,,,,
442,10/25/16,654.0,11.97,3.87,7505.0,5268142.0,,,,,,
443,10/26/16,657.68,11.38,3.91,7509.0,5275651.0,,,,,,
444,10/27/16,678.21,11.53,3.96,7512.0,5283163.0,,,,,,
445,10/28/16,688.0,11.47,4.04,7513.0,5290676.0,,,,,,
446,10/29/16,690.29,11.1,3.98,7515.0,5298191.0,,,,,,
447,10/30/16,714.12,10.43,4.1,7518.0,5305709.0,,,,,,
448,10/31/16,702.64,11.23,4.04,7520.0,5313229.0,,,,,,
449,11/1/16,701.34,10.96,4.0,7522.0,5320751.0,,,,,,
450,11/2/16,730.07,10.77,4.09,7523.0,5328274.0,,,,,,
451,11/3/16,742.35,10.8,4.11,7524.0,5335798.0,,,,,,
452,11/4/16,689.12,10.82,3.86,7529.0,5343327.0,,,,,,
453,11/5/16,703.52,11.09,3.88,7533.0,5350860.0,,,,,,
454,11/6/16,703.81,10.99,3.86,7534.0,5358394.0,,,,,,
455,11/7/16,710.74,10.9,3.89,7535.0,5365929.0,,,,,,
456,11/8/16,703.09,10.85,3.84,7537.0,5373466.0,,,,,,
457,11/9/16,709.83,10.82,3.85,7540.0,5381006.0,,,,,,
458,11/10/16,722.84,10.67,3.86,7547.0,5388553.0,,,,,,
459,11/11/16,715.55,10.51,3.84,7550.0,5396103.0,,,,,,
460,11/12/16,716.75,10.29,3.81,7555.0,5403658.0,,,,,,
461,11/13/16,705.2,9.89,3.77,7558.0,5411216.0,,,,,,
462,11/14/16,702.0,10.1,3.88,,,,,,,,
463,11/15/16,705.79,9.97,3.89,7562.0,5418778.0,,,,,,
464,11/16/16,711.17,10.22,3.9,7565.0,5426343.0,,,,,,
465,11/17/16,744.88,10.06,4.06,7573.0,5433916.0,,,,,,
466,11/18/16,740.71,9.99,3.96,7576.0,5441492.0,,,,,,
467,11/19/16,751.83,9.48,3.98,7583.0,5449075.0,,,,,,
468,11/20/16,751.88,9.66,3.97,7586.0,5456661.0,,,,,,
469,11/21/16,731.26,9.58,3.93,7592.0,5464253.0,,,,,,
470,11/22/16,739.64,9.63,3.95,7593.0,5471846.0,,,,,,
471,11/23/16,751.74,9.92,3.97,7597.0,5479443.0,,,,,,
472,11/24/16,744.62,9.85,3.93,7600.0,5487043.0,,,,,,
473,11/25/16,740.44,9.23,3.91,7605.0,5494648.0,,,,,,
474,11/26/16,741.51,9.42,3.92,7608.0,5502256.0,,,,,,
475,11/27/16,735.44,9.31,3.91,7610.0,5509866.0,,,,,,
476,11/28/16,732.48,9.0,3.9,7614.0,5517480.0,,,,,,
477,11/29/16,736.33,8.73,3.89,7622.0,5525102.0,,,,,,
478,11/30/16,736.28,8.16,3.89,7628.0,5532730.0,,,,,,
479,12/1/16,746.05,8.6,3.91,7633.0,5540363.0,,,,,,
480,12/2/16,757.54,8.46,3.92,7637.0,5548000.0,,,,,,
481,12/3/16,778.25,7.77,3.95,7639.0,5555639.0,,,,,,
482,12/4/16,771.64,7.9,3.93,7644.0,5563283.0,,,,,,
483,12/5/16,773.39,7.41,3.88,7648.0,5570931.0,,,,,,
484,12/6/16,758.72,6.8,3.49,7652.0,5578583.0,,,,,,
485,12/7/16,764.21,7.89,3.54,7656.0,5586239.0,,,,,,
486,12/8/16,768.08,8.38,3.6,7657.0,5593896.0,,,,,,
487,12/9/16,769.94,8.17,3.69,7658.0,5601554.0,,,,,,
488,12/10/16,773.02,8.44,3.69,7660.0,5609214.0,,,,,,
489,12/11/16,774.75,8.13,3.69,7662.0,5616876.0,,,,,,
490,12/12/16,770.04,8.19,3.64,7667.0,5624543.0,,,,,,
491,12/13/16,780.65,8.52,3.67,,,,,,,,
492,12/14/16,780.0,8.45,3.66,7668.0,5632211.0,,,,,,
493,12/15/16,780.07,8.24,3.61,7670.0,5639881.0,,,,,,
494,12/16/16,778.96,7.86,3.63,7672.0,5647553.0,,,,,,
495,12/17/16,785.17,7.86,3.63,7681.0,5655234.0,,,,,,
496,12/18/16,791.01,7.86,3.7,,,,,,,,
497,12/19/16,790.69,7.87,3.68,7691.0,5662925.0,,,,,,
498,12/20/16,792.25,7.63,3.66,7692.0,5670617.0,,,,,,
499,12/21/16,800.64,7.66,3.66,7694.0,5678311.0,,,,,,
500,12/22/16,834.18,7.9,3.67,7697.0,5686008.0,,,,,,
501,12/23/16,864.89,7.58,3.72,7700.0,5693708.0,,,,,,
502,12/24/16,922.18,7.15,4.65,7703.0,5701411.0,,,,,,
503,12/25/16,899.65,7.26,4.56,,,,,,,,
504,12/26/16,896.9,7.13,4.35,7709.0,5709120.0,,,,,,
505,12/27/16,908.35,7.28,4.37,7712.0,5716832.0,,,,,,
506,12/28/16,934.83,7.15,4.49,7717.0,5724549.0,,,,,,
507,12/29/16,975.13,7.54,4.58,7724.0,5732273.0,,,,,,
508,12/30/16,972.53,8.29,4.56,7727.0,5740000.0,,,,,,
509,12/31/16,960.63,8.15,4.39,,,,,,,,
510,1/1/17,963.66,7.98,4.33,,,,,,,,
511,1/2/17,998.62,8.17,4.52,7730.0,5747730.0,,,,,,
512,1/3/17,1021.6,8.37,4.66,7740.0,5755470.0,,,,,,
513,1/4/17,1044.4,9.71,4.63,7741.0,5763211.0,,,,,,
514,1/5/17,1156.73,11.29,4.91,7744.0,5770955.0,,,,,,
515,1/6/17,1014.24,10.29,4.3,7752.0,5778707.0,,,,,,
516,1/7/17,903.49,10.24,3.86,7753.0,5786460.0,,,,,,
517,1/8/17,908.17,9.87,3.96,7757.0,5794217.0,,,,,,
518,1/9/17,913.24,10.31,4.0,7759.0,5801976.0,,,,,,
519,1/10/17,902.44,10.37,4.3,7762.0,5809738.0,,,,,,
520,1/11/17,908.12,10.54,4.6,7763.0,5817501.0,,,,,,
521,1/12/17,775.18,9.72,3.84,7767.0,5825268.0,,,,,,
522,1/13/17,803.74,9.83,3.95,7772.0,5833040.0,,,,,,
523,1/14/17,825.14,9.79,3.89,7774.0,5840814.0,,,,,,
524,1/15/17,818.14,9.83,3.89,7775.0,5848589.0,,,,,,
525,1/16/17,821.78,9.88,3.92,7779.0,5856368.0,,,,,,
526,1/17/17,830.95,9.64,3.91,7783.0,5864151.0,,,,,,
527,1/18/17,909.37,10.3,3.94,7785.0,5871936.0,,,,,,
528,1/19/17,888.34,10.24,3.84,7788.0,5879724.0,,,,,,
529,1/20/17,898.17,10.39,3.86,7790.0,5887514.0,,,,,,
530,1/21/17,895.55,10.6,3.89,7796.0,5895310.0,,,,,,
531,1/22/17,922.21,10.91,3.9,7798.0,5903108.0,,,,,,
532,1/23/17,925.5,10.71,3.86,7802.0,5910910.0,,,,,,
533,1/24/17,910.68,10.73,3.84,7803.0,5918713.0,,,,,,
534,1/25/17,891.92,10.62,3.79,7807.0,5926520.0,,,,,,
535,1/26/17,902.39,10.57,3.71,7809.0,5934329.0,,,,,,
536,1/27/17,918.36,10.58,3.84,7816.0,5942145.0,,,,,,
537,1/28/17,919.81,10.54,3.85,7817.0,5949962.0,,,,,,
538,1/29/17,922.07,10.56,3.85,7822.0,5957784.0,,,,,,
539,1/30/17,920.15,10.49,3.86,7824.0,5965608.0,,,,,,
540,1/31/17,920.96,10.56,4.02,7831.0,5973439.0,,,,,,
541,2/1/17,970.94,10.74,4.08,7836.0,5981275.0,,,,,,
542,2/2/17,990.0,10.74,4.08,7841.0,5989116.0,,,,,,
543,2/3/17,1011.46,10.81,4.08,7844.0,5996960.0,,,,,,
544,2/4/17,1031.33,11.13,4.08,7848.0,6004808.0,,,,,,
545,2/5/17,1043.52,11.44,4.07,7853.0,6012661.0,,,,,,
546,2/6/17,1028.4,11.35,4.06,7857.0,6020518.0,,,,,,
547,2/7/17,1040.14,11.43,4.05,7862.0,6028380.0,,,,,,
548,2/8/17,1062.32,11.54,4.05,7869.0,6036249.0,,,,,,
549,2/9/17,1064.7,11.44,4.03,7875.0,6044124.0,,,,,,
